Date : 2020-09-15 02:24:12
Directory : c:\Users\Arian\Documents\bots\little devil
Total : 107 files,  8508 codes, 35 comments, 866 blanks, all 9409 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Arian\Documents\bots\little devil\src\commands\Music\play.js             | JavaScript |         97 |          0 |         17 |        114 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\Music\queue.js            | JavaScript |         21 |          0 |          4 |         25 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\Music\reset.js            | JavaScript |         22 |          0 |          8 |         30 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\Music\resume.js           | JavaScript |         21 |          0 |          4 |         25 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\Music\skip.js             | JavaScript |         20 |          0 |          4 |         24 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\level\blacklist.js        | JavaScript |         70 |          0 |          9 |         79 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\level\lb.js               | JavaScript |         59 |          0 |          8 |         67 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\level\levelSettings.js    | JavaScript |         80 |          2 |         12 |         94 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\level\lvlrole.js          | JavaScript |         83 |          0 |         13 |         96 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\level\rank.js             | JavaScript |         33 |          0 |          5 |         38 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\level\set.js              | JavaScript |         69 |          0 |          8 |         77 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\moderation\ban.js         | JavaScript |         62 |          6 |         15 |         83 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\moderation\kick.js        | JavaScript |         52 |          0 |          9 |         61 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\moderation\massban.js     | JavaScript |         72 |          0 |         22 |         94 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\moderation\mute.js        | JavaScript |         73 |          0 |         14 |         87 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\moderation\purge.js       | JavaScript |         63 |          0 |          6 |         69 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\moderation\role.js        | JavaScript |         47 |          0 |         10 |         57 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\moderation\unban.js       | JavaScript |         35 |          0 |          7 |         42 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\moderation\unmute.js      | JavaScript |         61 |          0 |         10 |         71 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\moderation\warn.js        | JavaScript |         86 |          2 |         15 |        103 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\settings\catchSetting.js  | JavaScript |         61 |          0 |          9 |         70 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\settings\joinset.js       | JavaScript |         54 |          0 |          5 |         59 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\settings\logset.js        | JavaScript |         69 |          0 |          8 |         77 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\settings\muteset.js       | JavaScript |         95 |          1 |         14 |        110 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\settings\perms.js         | JavaScript |        110 |          0 |         13 |        123 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\settings\prefix.js        | JavaScript |         29 |          0 |          5 |         34 |
